date,video_id,title,channel_id,views,likes,comments,video_length,sub_growth_rate,watch_duration,watch_completion_rate,total_views,video_count,subscribers,language,title_translated
2022-04-10T03:30:05Z,R7rWBW9pNG8,Part 16 - कामवाली बाई और विराट कोहली 🏏😂 IPL | Kaamwali Bai | #Shorts | Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,529587423,18083480,17740,59.0,0.0861047638587897,18747394774.2,317752453.8,33651092463,738,45600000,en,Part 16 - कामवाली बाई और विराट कोहली 🏏😂 IPL | Kaamwali Bai | #Shorts | Shorts Break
2021-04-19T06:27:18Z,gv5vC57eQyM,How to bully Vegetarians | #Shorts,UCKurfmpbeeo32EfC8sHaMyA,286580879,9809313,7790,30.0,0.0085490700166356,5158455822.0,171948527.4,1049892336,119,2450000,en,How to bully Vegetarians | #Shorts
2022-09-11T03:30:11Z,_eWkISVAlHo,Part 36 - Jeans का जुगाड़ 🤣 | Kaamwali Bai | #Shorts | Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,278187139,9438324,5835,59.0,0.1639184333392206,9847824720.6,166912283.4,33651092463,738,45600000,en,Part 36 - Jeans का जुगाड़ 🤣 | Kaamwali Bai | #Shorts | Shorts Break
2022-09-10T04:36:58Z,QIULBHxbYCw,Scam 2022😂 #shorts #story #soulfulseries #trending #song #viralsong #lovestory,UCYFPzRnPm4GuoDU1N4NkHzQ,200865593,4957203,8028,21.0,0.0557586783914754,2530906471.8,120519355.79999998,5222328807,745,11200000,en,Scam 2022😂 #shorts #story #soulfulseries #trending #song #viralsong #lovestory
2022-01-29T03:30:03Z,6hyOU5Wre54,Part 7 - कामवाली  को Job से निकालने चले थे 🤣 | Kaamwali Bai | #Shorts | Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,160208623,7703842,5228,60.0,0.2846288741898742,5767510428.0,96125173.8,33651092463,738,45600000,en,Part 7 - कामवाली  को Job से निकालने चले थे 🤣 | Kaamwali Bai | #Shorts | Shorts Break
2023-09-17T07:27:00Z,Exuqg8HmHfU,I didn&#39;t Eat your Pizza #shorts,UCrFBMpfAfSUDadcOBzwP0pw,137485455,0,502,35.0,0.1701998222284677,2887194555.0,82491273.0,13542463359,1679,23400000,en,I didn&#39;t Eat your Pizza #shorts
2022-04-30T16:42:07Z,GG99p9d1188,9 YEAR OLD ME BEEFING WITH OTHER KIDS 👀😂 #Shorts,UC5Y1pPVNm-odhiubuRO1D6A,135550246,6158830,40978,39.0,0.0951676620343426,3171875756.4,81330147.6,7057253205,924,12900000,en,9 YEAR OLD ME BEEFING WITH OTHER KIDS 👀😂 #Shorts
2022-05-12T03:30:18Z,zGJDklWZX2o,Part 24 - कामवाली बाई और Bachelors - II 🤣🤣 | Kaamwali Bai | #Shorts | Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,122870048,5691148,2354,50.0,0.3711238071625071,3686101440.0,73722028.8,33651092463,738,45600000,en,Part 24 - कामवाली बाई और Bachelors - II 🤣🤣 | Kaamwali Bai | #Shorts | Shorts Break
2022-10-06T11:30:01Z,6ES_59wMD7Q,How To Style Your Simple Dress | Viral Beauty Hacks | Anaysa Shorts,UCa43NrBoxm_RnwLDdnh-KdA,104591482,3014522,1918,50.0,0.052394324042564,3137744460.0,62754889.2,2887430432,1205,5480000,en,How To Style Your Simple Dress | Viral Beauty Hacks | Anaysa Shorts
2022-09-13T16:00:37Z,wZZPr7zjjLU,POV: you see a random cat on the street #shorts,UCUbslKd64OsMpBKhGJTNegg,93036821,2242411,24916,11.0,0.0147253526644037,614043018.6,55822092.6,489983773,130,1370000,en,POV: you see a random cat on the street #shorts
2021-12-17T03:34:08Z,eyvRxXCsGtQ,Extra beauty 🤣 #shorts #bobbyprankster #funny #funnyshorts #filter,UC5apxzE3aEOpvP0XkeuW8mw,88453016,3156449,3060,14.0,0.3470769159527584,743005334.4,53071809.6,16295802697,608,30700000,en,Extra beauty 🤣 #shorts #bobbyprankster #funny #funnyshorts #filter
2023-07-05T08:00:04Z,74SefuswzsU,School aur Tiffin 🍔🎂❤️|| Gulshan kalra #shorts,UC56dNUTok1pgvpY75CsJQ4Q,81056328,2473308,1717,60.0,0.4959514080134496,2918027808.0,48633796.8,18139053406,791,40200000,en,School aur Tiffin 🍔🎂❤️|| Gulshan kalra #shorts
2025-01-02T08:13:57Z,ggmwt5zYqgg,That one most active teacher in every school 🏫 #shorts #ytshorts #sejalgabashorts #teacherlife,UCW-V3lJDUSz_AccP6rPRUtA,79472063,3820575,6176,53.0,0.1346385081258051,2527211603.4,47683237.79999999,5994673257,362,10700000,en,That one most active teacher in every school 🏫 #shorts #ytshorts #sejalgabashorts #teacherlife
2023-06-10T08:01:26Z,5cuQEGB-W30,Sir ka chakkr😂🤘🏻|| Jaanvi patel #shorts,UCRqs0TZOqe5nrwP-BrdnCjg,74350196,0,2882,60.0,0.3833211145805184,2676607056.0,44610117.6,12796538986,763,28500000,id,Sir ka chakkr😂🤘 press || Jaanvi Patel #Shorts
2023-11-28T13:55:20Z,g5z5ofMZrLY,Watch till the end 😎🔥 (Bewafa series) #shorts #bewafa,UC5apxzE3aEOpvP0XkeuW8mw,74288446,2734339,2000,60.0,0.4132540341468443,2674384056.0,44573067.6,16295802697,608,30700000,en,Watch till the end 😎🔥 (Bewafa series) #shorts #bewafa
2024-09-10T09:04:25Z,s0geipPsV9s,Ek tuition wali didi aisi bhi👩‍🏫😂 #shorts #funnyshorts #comedyshorts #ytshorts #teacherlife,UCW-V3lJDUSz_AccP6rPRUtA,71548603,1674244,3116,58.0,0.1495486920967555,2489891384.4,42929161.8,5994673257,362,10700000,en,Ek tuition wali didi aisi bhi👩‍🏫😂 #shorts #funnyshorts #comedyshorts #ytshorts #teacherlife
2024-07-04T13:45:01Z,Y5vhf9pOuj4,Only Legends will get the end 😎#nostalgia #90s #friends #relatable #explore #shorts,UCQPTbtadNWcPYuoS3JqkpYw,71177013,1722392,2396,60.0,0.0465037778418715,2562372468.0,42706207.8,2002248456,323,3310000,en,Only Legends will get the end 😎#nostalgia #90s #friends #relatable #explore #shorts
2023-07-05T13:19:09Z,QqrPeEV11eo,Chalak rikshawala 😂 #shorts #funny,UC5apxzE3aEOpvP0XkeuW8mw,67941142,2907459,2703,60.0,0.4518617011177115,2445881111.9999995,40764685.2,16295802697,608,30700000,sw,CHALAK RIKSHAWA 😂 #SHORTS #FUNNY
2024-06-18T10:30:06Z,GBtE2qCTo7w,Shaitaan🧟‍♀️ ke saath Shaitaani 🤣 #priyalkukreja #shorts #ytshorts,UCzEAWIWMigRBbulQ6yVlilg,66729574,999145,1565,27.0,0.6458905312358205,1081019098.8,40037744.4,27798876613,1274,43100000,fi,Shaita🧟‍🧟‍️ KE receiving shaitaani 🤣 #priyalkkukrea #shorts #ytshorts
2024-09-27T07:55:00Z,OGdpuCzf9SE,Tom 🍓 Jerry (Rithvi&amp;Kavi)Real End Twist 😂🎈 #shorts,UCL5nlHWXVLeOsSjKH2fhmsg,64650110,1988489,2264,60.0,1.058002840211718,2327403960.0,38790066.0,60653441132,3010,68400000,en,Tom 🍓 Jerry (Rithvi&amp;Kavi)Real End Twist 😂🎈 #shorts
2022-06-28T15:00:17Z,ToBHiGmyfNE,Oldest Child Vs. Middle Child Vs. Youngest Child (Part 2) #Shorts,UCuwJoiGWRxPYStBp0l0WuZw,60334104,3743894,14333,46.0,0.2834217940818347,1665221270.4,36200462.4,14905972809,1518,17100000,en,Oldest Child Vs. Middle Child Vs. Youngest Child (Part 2) #Shorts
2022-01-25T15:42:26Z,GiyN7E2sSx4,Minku going to a Birthday Party 😎✨ | @RajGrover005 | #shorts,UC6ylikHBX9_es8TIf0vmiUQ,60072268,3369279,0,37.0,0.2347172908470843,1333604349.6,36043360.8,11784268093,661,14100000,en,Minku going to a Birthday Party 😎✨ | @RajGrover005 | #shorts
2024-10-01T07:08:40Z,E8Lm9nThOzo,When your Mother is a Teacher 👩‍🏫😂 #shorts #funnyshorts #ytshorts #teacherlife #school,UCW-V3lJDUSz_AccP6rPRUtA,58905367,1959227,2184,60.0,0.1816472852125681,2120593212.0,35343220.2,5994673257,362,10700000,en,When your Mother is a Teacher 👩‍🏫😂 #shorts #funnyshorts #ytshorts #teacherlife #school
2024-11-29T09:02:22Z,v82LyTPTl58,Jab principal mam chutti par ho 👩‍🏫😂 #shorts #ytshorts #sejalgabashorts #teacherlife #school,UCW-V3lJDUSz_AccP6rPRUtA,56452219,1473768,1505,56.0,0.1895408221242817,1896794558.4,33871331.4,5994673257,362,10700000,en,Jab principal mam chutti par ho 👩‍🏫😂 #shorts #ytshorts #sejalgabashorts #teacherlife #school
2024-01-25T15:48:36Z,tgWMWgfGO3I,Manu ka ultimate vlog 3 🥳🤣 #shorts #funny #vlog,UCVPP_lAuPWl_tBZ8R7rQPxQ,55818216,0,501,59.0,0.1916936936859465,1975964846.4,33490929.6,5510213424,647,10700000,hr,Manu Ka Ultimate Vlog 3 🥳🤣 #shorts #funny #vlog
2024-10-06T05:58:56Z,kK0-qc17mVU,Jab apki mummy school m principal ho👩‍🏫😂 #shorts #sejalgabashorts #ytshorts #teacherlife,UCW-V3lJDUSz_AccP6rPRUtA,53723618,1794999,3032,60.0,0.1991675244210097,1934050248.0,32234170.8,5994673257,362,10700000,en,Jab apki mummy school m principal ho👩‍🏫😂 #shorts #sejalgabashorts #ytshorts #teacherlife
2024-05-19T23:00:11Z,Gj2ztMwLr5Q,Time Flew By! 😭 #shorts,UCVb7uI1uABY4teAN8i1Ir4g,53396027,2590104,12217,11.0,0.2359726127189201,352413778.2,32037616.2,7603213341,2778,12600000,en,Time Flew By! 😭 #shorts
2024-02-11T04:00:09Z,FQfxXbSowH4,EP-41 - Main Nahi Jaunga 😂 | Maa aur Munna | #Shorts | Shorts Break,UCgJ5_1F6yJhYLnyMszUdmUg,52541838,2357449,3539,46.0,0.8678798027583275,1450154728.8,31525102.8,33651092463,738,45600000,de,EP -41 - Main Nahi Jaunga 😂 | Maa Aur Munna | #Shorts | Shorts break
2024-08-17T16:27:34Z,s3Aqdn7YxH4,Biwi no.1😂||funny videos||#youtubeshorts #comedy #funny #biwino1 #golu008 #funnyvideo,UCl1oiiVVTQkD2zq8beALVjA,51030433,1167368,3048,60.0,0.4409133663435699,1837095588.0,30618259.8,10990837282,1397,22500000,en,Biwi no.1😂||funny videos||#youtubeshorts #comedy #funny #biwino1 #golu008 #funnyvideo
